,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain
0,28.0,5.0,26,21.5,12,,E10,0,0
1,12.0,4.2,30,21.5,13,,E10,0,0
2,11.2,5.5,38,21.5,15,,E10,0,0
3,12.9,3.9,36,21.5,14,,E10,0,0
4,18.5,4.5,46,21.5,15,,E10,0,0
5,8.3,6.4,50,21.5,10,,E10,0,0
6,7.8,4.4,43,21.5,11,,E10,0,0
7,12.3,5.0,40,21.5,6,,E10,0,0
8,4.9,6.4,26,21.5,4,,E10,0,0
9,11.9,5.3,30,21.5,9,,E10,0,0
10,12.4,5.6,42,21.5,4,,E10,0,0
11,11.8,4.6,38,21.5,0,,E10,0,0
12,12.3,5.9,59,21.5,10,,E10,0,0
13,24.7,5.1,58,21.5,12,,E10,0,0
14,12.4,4.7,46,21.5,11,,E10,0,0
15,17.3,5.1,24,21.5,5,,E10,0,0
16,33.4,5.6,36,21.5,3,,E10,0,0
17,11.8,5.1,32,21.5,3,,E10,0,0
18,25.9,4.9,39,21.5,8,,E10,0,0
19,11.8,4.7,40,21.5,4,,E10,0,0
20,25.3,5.5,32,21.5,3,,E10,0,0
21,14.2,5.9,38,21.5,1,,E10,0,0
22,17.9,5.7,37,21.5,1,,E10,0,0
23,11.8,4.7,36,21.5,1,,E10,0,0
24,12.3,5.9,62,21.5,6,,E10,0,0
25,12.4,4.1,57,21.5,9,,E10,0,0
26,18.4,5.7,21,22.5,2,,E10,0,0
27,18.4,5.8,28,21.5,3,,E10,0,0
28,18.3,5.5,29,21.5,1,,E10,0,0
29,18.4,5.7,35,21.5,4,,E10,0,0
30,12.3,5.3,51,21.5,11,,E10,0,0
31,11.8,5.0,29,21.5,10,,E10,0,0
32,12.3,5.6,58,21.5,8,,E10,0,0
33,32.6,4.8,40,21.5,7,,E10,0,0
34,19.0,4.3,36,21.5,7,,E10,0,0
35,12.1,5.7,36,21.5,8,,E10,0,0
36,20.0,5.2,37,21.5,4,,E10,0,0
37,4.9,7.4,26,21.5,6,,E10,0,0
38,11.8,4.8,23,21.5,9,,E10,0,0
39,12.3,6.5,58,21.5,7,,E10,0,0
40,12.4,4.0,55,21.5,7,AC rain,E10,1,1
41,4.5,5.0,29,21.5,7,AC,E10,1,0
